File	Integrated_Intensity	Mean_q(nm^-1)	Invariant	Capacity(mAh/g)	Potential(V)
190	2.8672e-02	1.6705	9.9597e-02	3476.5371	2.4633
191	2.9149e-02	1.6724	1.0191e-01	3494.9155	2.4818
192	2.8787e-02	1.6546	9.8594e-02	3513.2940	2.5024
193	2.9076e-02	1.6628	1.0019e-01	3531.9051	2.5258
194	2.8677e-02	1.6569	9.8479e-02	3550.2836	2.5517
195	2.8438e-02	1.6665	9.8522e-02	3568.8947	2.5822
196	2.8472e-02	1.6612	9.8406e-02	3587.2731	2.6170
197	2.8535e-02	1.6616	9.8378e-02	3605.8842	2.6585
198	2.8583e-02	1.6701	9.9335e-02	3624.2627	2.7081
199	2.8237e-02	1.6619	9.7612e-02	3642.6412	2.7696
200	2.8623e-02	1.6701	9.9778e-02	3661.2523	2.8442
201	2.7990e-02	1.6700	9.7395e-02	3679.6308	2.9211
