Energy Loss (eV)	Intensity
1.529375000000000284e+02	1.370138378667093093e+03
1.530000000000000284e+02	1.370205654405066980e+03
1.530625000000000284e+02	1.368964639372268039e+03
1.531250000000000284e+02	1.367177287809768131e+03
1.531875000000000284e+02	1.366301642743259436e+03
1.532500000000000284e+02	1.366671079833273780e+03
1.533125000000000284e+02	1.367480613793733028e+03
1.533750000000000284e+02	1.367592640465562454e+03
1.534375000000000284e+02	1.366359401603499691e+03
1.535000000000000284e+02	1.363968393494899146e+03
1.535625000000000284e+02	1.361416014076167357e+03
1.536250000000000284e+02	1.360038218271684855e+03
1.536875000000000284e+02	1.359993471232690808e+03
1.537500000000000284e+02	1.360614441258200941e+03
1.538125000000000284e+02	1.360690572726859727e+03
1.538750000000000284e+02	1.359732183149600132e+03
1.539375000000000284e+02	1.357934651125183336e+03
1.540000000000000284e+02	1.356330395977588751e+03
1.540625000000000284e+02	1.355597210140307197e+03
1.541250000000000284e+02	1.355928170075620756e+03
1.541875000000000284e+02	1.356973135910168821e+03
1.542500000000000284e+02	1.358016641604410779e+03
1.543125000000000284e+02	1.358287961165271099e+03
1.543750000000000284e+02	1.357544686680030281e+03
1.544375000000000284e+02	1.355977229386845465e+03
1.545000000000000284e+02	1.353977542729593097e+03
1.545625000000000284e+02	1.352097238497632588e+03
1.546250000000000284e+02	1.350915592884476382e+03
1.546875000000000284e+02	1.350291776922377267e+03
1.547500000000000284e+02	1.349845642469935683e+03
1.548125000000000284e+02	1.349264513802843794e+03
1.548750000000000284e+02	1.348714530999454610e+03
1.549375000000000284e+02	1.348153032844389145e+03
1.550000000000000284e+02	1.347886236128827932e+03
1.550625000000000284e+02	1.348332373496721175e+03
1.551250000000000284e+02	1.349812970276058195e+03
1.551875000000000284e+02	1.351276357575620750e+03
1.552500000000000284e+02	1.351169591768405098e+03
1.553125000000000284e+02	1.348753883518587145e+03
1.553750000000000284e+02	1.345438399120810118e+03
1.554375000000000284e+02	1.343042416977953053e+03
1.555000000000000284e+02	1.342332653698980948e+03
1.555625000000000284e+02	1.342340836848580011e+03
1.556250000000000284e+02	1.342176738816509896e+03
1.556875000000000284e+02	1.341683693330904816e+03
1.557500000000000284e+02	1.341285595207727056e+03
1.558125000000000284e+02	1.340974376571611856e+03
1.558750000000000284e+02	1.340454100081998149e+03
1.559375000000000284e+02	1.339645505603135234e+03
1.560000000000000284e+02	1.338649687340562195e+03
1.560625000000000284e+02	1.337711525783528941e+03
1.561250000000000284e+02	1.336767827828900636e+03
1.561875000000000284e+02	1.335899230434585661e+03
1.562500000000000284e+02	1.335188893790999828e+03
1.563125000000000284e+02	1.335238814253827513e+03
1.563750000000000284e+02	1.336071979477952937e+03
