Energy Loss (eV)	Original	Background_fit	Background_subtracted
1.125902921468904765e+02	1.176513671875000000e+03	1.108268892968195587e+03	6.824477890680441305e+01
1.127152921468904765e+02	1.144013671875000000e+03	1.103627603084860084e+03	4.038606879013991602e+01
1.128402921468904765e+02	1.136162109375000000e+03	1.099010862350020716e+03	3.715124702497928411e+01
1.129652921468904765e+02	1.134511718750000000e+03	1.094418513936820773e+03	4.009320481317922713e+01
1.130902921468904765e+02	1.131816406250000000e+03	1.089850402192227875e+03	4.196600405777212472e+01
1.132152921468904765e+02	1.130222656250000000e+03	1.085306372626963139e+03	4.491628362303686117e+01
1.133402921468904765e+02	1.127054687500000000e+03	1.080786271905529020e+03	4.626841559447098007e+01
1.134652921468904765e+02	1.126511718750000000e+03	1.076289947836332431e+03	5.022177091366756940e+01
1.135902921468904765e+02	1.109951171875000000e+03	1.071817249361904032e+03	3.813392251309596759e+01
1.137152921468904765e+02	1.114158203125000000e+03	1.067368026549210299e+03	4.679017657578970102e+01
1.138402921468904765e+02	1.105310546875000000e+03	1.062942130580060621e+03	4.236841629493937944e+01
1.139652921468904765e+02	1.106980468750000000e+03	1.058539413741606722e+03	4.844105500839327760e+01
1.140902921468904765e+02	1.113949218750000000e+03	1.054159729416930304e+03	5.978948933306969593e+01
1.142152921468904765e+02	1.113226562500000000e+03	1.049802932075725948e+03	6.342363042427405162e+01
1.143402921468904765e+02	1.104361328125000000e+03	1.045468877265068386e+03	5.889245085993161410e+01
1.144652921468904765e+02	1.080097656250000000e+03	1.041157421600272073e+03	3.894023464972792681e+01
1.145902921468904765e+02	1.072439453125000000e+03	1.036868422755835354e+03	3.557103036916464589e+01
1.147152921468904765e+02	1.077345703125000000e+03	1.032601739456473751e+03	4.474396366852624851e+01
1.148402921468904765e+02	1.087152343750000000e+03	1.028357231468236023e+03	5.879511228176397708e+01
1.149652921468904765e+02	1.079636718750000000e+03	1.024134759589707301e+03	5.550195916029269938e+01
1.150902921468904765e+02	1.060263671875000000e+03	1.019934185643294427e+03	4.032948623170557312e+01
1.152152921468904765e+02	1.070806640625000000e+03	1.015755372466595873e+03	5.505126815840412746e+01
1.153402921468904765e+02	1.067218750000000000e+03	1.011598183903851350e+03	5.562056609614865010e+01
1.154652921468904765e+02	1.074892578125000000e+03	1.007462484797474758e+03	6.743009332752524188e+01
1.155902921468904765e+02	1.066115234375000000e+03	1.003348140979666368e+03	6.276709339533363163e+01
1.157152921468904765e+02	1.048330078125000000e+03	9.992550192641042486e+02	4.907505886089575142e+01
1.158402921468904765e+02	1.038173828125000000e+03	9.951829874377156102e+02	4.299084068728438979e+01
1.159652921468904765e+02	1.042560546875000000e+03	9.911319142525237567e+02	5.142863262247624334e+01
1.160902921468904765e+02	1.035675781250000000e+03	9.871016694175742714e+02	4.857411183242572861e+01
1.162152921468904765e+02	1.036832031250000000e+03	9.830921235909363531e+02	5.373990765906364686e+01
1.163402921468904765e+02	1.025199218750000000e+03	9.791031483717787296e+02	4.609607037822127040e+01
1.164652921468904765e+02	1.036888671875000000e+03	9.751346162925212866e+02	6.175405558247871340e+01
1.165902921468904765e+02	1.018095703125000000e+03	9.711864008110609348e+02	4.690930231393906524e+01
1.167152921468904765e+02	1.013935546875000000e+03	9.672583763030687578e+02	4.667717057193124219e+01
1.168402921468904765e+02	1.013357421875000000e+03	9.633504180543602615e+02	5.000700382063973848e+01
1.169652921468904765e+02	9.957148437500000000e+02	9.594624022533380412e+02	3.625244149666195881e+01
1.170902921468904765e+02	1.000103515625000000e+03	9.555942059835040254e+02	4.450930964149597457e+01
1.172152921468904765e+02	1.001123046875000000e+03	9.517457072160412963e+02	4.937733965895870369e+01
1.173402921468904765e+02	9.840644531250000000e+02	9.479167848024676459e+02	3.614766832253235407e+01
1.174652921468904765e+02	9.860722656250000000e+02	9.441073184673545029e+02	4.196494715764549710e+01
1.175902921468904765e+02	9.761406250000000000e+02	9.403171888011158899e+02	3.582343619888411013e+01
1.177152921468904765e+02	9.643300781250000000e+02	9.365462772528642290e+02	2.778380087213577099e+01
1.178402921468904765e+02	9.551406250000000000e+02	9.327944661233316310e+02	2.234615887666836898e+01
1.179652921468904765e+02	9.485839843750000000e+02	9.290616385578583731e+02	1.952234581714162687e+01
1.180902921468904765e+02	9.552734375000000000e+02	9.253476785394445869e+02	2.992575896055541307e+01
1.182152921468904765e+02	9.527988281250000000e+02	9.216524708818690215e+02	3.114635724313097853e+01
1.183402921468904765e+02	9.411542968750000000e+02	9.179759012228685151e+02	2.317839565213148489e+01
1.184652921468904765e+02	9.556113281250000000e+02	9.143178560173830647e+02	4.129347210761693532e+01
1.185902921468904765e+02	9.358359375000000000e+02	9.106782225308617171e+02	2.515771496913828287e+01
1.187152921468904765e+02	9.347246093750000000e+02	9.070568888326316710e+02	2.766772054236832901e+01
1.188402921468904765e+02	9.206933593750000000e+02	9.034537437893267224e+02	1.723961558567327756e+01
1.189652921468904765e+02	9.185683593750000000e+02	8.998686770583783527e+02	1.869968231662164726e+01
1.190902921468904765e+02	9.271464843750000000e+02	8.963015790815646824e+02	3.084490529343531762e+01
1.192152921468904765e+02	9.159296875000000000e+02	8.927523410786210434e+02	2.317734642137895662e+01
1.193402921468904765e+02	9.113476562500000000e+02	8.892208550409063719e+02	2.212680120909362813e+01
